Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand A,REMAINING FLAVOR,76,$4.93 ,56,43
Brand C,ORANGE,414,$6.99 ,0,173
Brand B,BLUEBERRY,221,$6.23 ,0,104
Brand A,POMEGRANATE,131,$10.89 ,0,93
Brand H,FRUIT PUNCH,262,$4.41 ,262,166
Brand A,REMAINING FLAVOR,59,$5.56 ,59,39
Brand C,REMAINING FLAVOR,"4,808",$8.52 ,"4,790","1,206"
Brand C,PRUNE,1,$4.24 ,0,1
Brand C,MANGO,119,$7.17 ,0,68
Brand A,CRANBERRY BLEND,437,$5.27 ,16,183.0
Brand A,REMAINING FLAVOR,118,$3.30 ,89,91
Brand M,MANGO,158,$4.26 ,0,75
Brand A,CARROT,315,$4.52 ,267,239
Brand D,CHERRY,56,$7.98 ,6,33
Brand F,ORANGE BLEND,"3,121",$3.63 ,233,804
Brand A,REMAINING FLAVOR,0,,0,
Brand A,ORANGE BLEND,5,$6.49 ,0,4
Brand C,MANGO,117,$7.55 ,93,63
Brand A,BERRY POMEGRANATE,127,$5.61 ,106,53
Brand C,PRUNE,"4,508",$10.67 ,282,"2,121"
Brand C,REMAINING FLAVOR,305,$6.33 ,305,95
Brand H,ORANGE BLEND,4,$4.99 ,0,4
Brand C,PINEAPPLE,"2,334",$3.72 ,132,642
Brand C,REMAINING FLAVOR,"4,695",$8.51 ,108,"1,217"
Brand C,REMAINING FLAVOR,195,$9.67 ,62,122
Brand A,REMAINING FLAVOR,493,$7.98 ,0,185
Brand A,BLUEBERRY,3,$5.99 ,0,1
Brand F,GRAPEFRUIT,8,$5.67 ,0,6
Brand C,CARROT,88,$6.49 ,81,44
Brand A,GRAPEFRUIT,66,$6.52 ,22,42.0
Brand E,CHERRY,963,$5.84 ,15,163
Brand A,TOMATO JUICE,0,,0,
Brand C,MANGO,610,$8.95 ,7,286.0
Brand L,REMAINING FLAVOR,2,$3.89 ,0,1
Brand C,REMAINING FLAVOR,1,$4.28 ,0,1
Brand L,PEACH,27,$4.99 ,0,8
Brand N,BERRY BLEND,591,$4.83 ,69,396
Brand C,REMAINING FLAVOR,70,$6.00 ,0,47
Brand F,PRUNE,534,$6.79 ,0,170
Brand C,POMEGRANATE,627,$6.24 ,127,368
Brand C,CRANBERRY BLEND,0,,0,
Brand C,CRANBERRY BLEND,2,$5.94 ,0,2
Brand A,REMAINING FLAVOR,"16,866",$4.60 ,733,"6,152"
Brand F,REMAINING FLAVOR,138,$5.15 ,0,95
Brand J,CRANBERRY,556,$4.48 ,15,144
Brand A,CHERRY,"2,547",$4.89 ,423,"1,280"
Brand A,CHERRY,648,$8.12 ,0,155
Brand A,CHERRY,86,$7.99 ,0,50
Brand C,CRANBERRY,671,$11.16 ,380,303
Brand C,PRUNE,103,$8.67 ,69,52
Brand H,GRAPE,310,$4.72 ,0,110
Brand L,REMAINING FLAVOR,0,,0,
Brand C,CHERRY,418,$8.32 ,405,106
Brand A,REMAINING FLAVOR,"1,335",$4.38 ,84,720
Brand I,REMAINING FLAVOR,56,$7.16 ,0,29
Brand L,REMAINING FLAVOR,53,$5.71 ,0,33
Brand F,CHERRY,946,$5.82 ,60,331
Brand I,CHERRY,454,$8.41 ,0,104
Brand C,REMAINING FLAVOR,"1,076",$8.33 ,82,609
Brand E,STRAWBERRY BLEND,22,$5.65 ,0,16
Brand C,ORANGE BLEND,64,$3.49 ,0,38
Brand A,CRANBERRY,5,$4.99 ,0,1
Brand A,REMAINING FLAVOR,14,$5.99 ,0,10
Brand C,CHERRY,739,$6.44 ,0,328
Brand D,CHERRY,338,$6.43 ,0,197
Brand F,REMAINING FLAVOR,330,$5.49 ,0,162
Brand A,PRUNE,98,$9.99 ,0,65
Brand A,GRAPE,920,$5.57 ,0,326.0
Brand I,TROPICAL,332,$7.74 ,61,254
Brand F,CRANBERRY,"3,934",$6.03 ,102,892
Brand C,PRUNE,162,$8.30 ,120,83
Brand C,FRUIT PUNCH,8,$6.29 ,0,4
Brand A,REMAINING FLAVOR,356,$5.35 ,0,194
Brand H,GRAPE,809,$4.04 ,763,267
Brand I,CHERRY,557,$7.30 ,39,103.0
Brand F,CHERRY,383,$6.99 ,0,125
Brand A,REMAINING FLAVOR,302,$3.97 ,302,90
Brand L,PEACH,1,$4.99 ,0,1
Brand H,GRAPE,31,$5.37 ,13,16
Brand A,CARROT,2,$6.29 ,0,1
Brand F,PRUNE,"2,915",$5.94 ,0,332
Brand C,REMAINING FLAVOR,"35,621",$8.42 ,"13,235","10,311"
Brand C,BERRY POMEGRANATE,0,,0,
Brand C,BLUEBERRY,957,$13.47 ,0,385.0
Brand A,GRAPEFRUIT,2,$7.99 ,0,2
Brand E,CRANBERRY,475,$5.80 ,0,135
Brand F,CHERRY,"1,802",$5.68 ,88,539
Brand H,GRAPE,45,$5.99 ,0,25
Brand H,CHERRY,69,$5.49 ,0,22
Brand A,CRANBERRY BLEND,1,$4.59 ,0,1
Brand C,CRANBERRY,294,$12.97 ,261,106
Brand C,CHERRY,85,$6.04 ,0,37
Brand L,REMAINING FLAVOR,0,,0,
Brand E,REMAINING FLAVOR,26,$4.24 ,24,12
Brand L,REMAINING FLAVOR,398,$4.38 ,147,182
Brand A,CHERRY,3,$5.98 ,0,1
Brand I,REMAINING FLAVOR,4,$9.14 ,0,3
Brand C,REMAINING FLAVOR,873,$8.96 ,44,540
Brand A,GRAPE,38,$7.99 ,0,25
Brand K,REMAINING FLAVOR,36,$7.99 ,36,29.0
Brand C,GRAPEFRUIT,2,$6.49 ,0,1
Brand A,MANGO,103,$8.08 ,0,67
Brand I,REMAINING FLAVOR,58,$7.93 ,0,37
Brand A,REMAINING FLAVOR,799,$5.40 ,45,222
Brand A,REMAINING FLAVOR,30,$8.90 ,0,22.0
Brand C,REMAINING FLAVOR,416,$7.52 ,0,120
Brand C,REMAINING FLAVOR,"1,718",$6.74 ,803,856
Brand H,FRUIT PUNCH,170,$5.82 ,4,113
Brand A,REMAINING FLAVOR,53,$5.99 ,0,30
Brand A,GRAPE,30,$6.80 ,0,17
Brand A,CRANBERRY BLEND,144,$5.43 ,0,77
Brand A,TOMATO JUICE,2,$5.49 ,0,2
Brand A,ORANGE BLEND,"6,170",$6.13 ,120,"2,494"
Brand A,CRANBERRY,5,$13.99 ,0,2
Brand A,REMAINING FLAVOR,199,$4.50 ,192,75.0
Brand C,CHERRY,"1,096",$5.98 ,0,566
Brand A,REMAINING FLAVOR,3,$5.99 ,0,2
Brand C,PINEAPPLE,3,$3.79 ,0,1
Brand F,CRANBERRY BLEND,"1,769",$5.55 ,220,984
Brand A,CRANBERRY BLEND,"1,269",$5.59 ,100,562
Brand H,ORANGE BLEND,"8,459",$4.30 ,"1,538","3,660"
Brand A,MANGO,50,$10.04 ,0,37
Brand A,CHERRY,"42,695",$8.62 ,"3,401","12,045"
Brand A,CHERRY,"2,063",$3.67 ,"1,989",841
Brand C,CARROT,0,,0,
Brand C,CRANBERRY,261,$9.19 ,261,110
Brand L,REMAINING FLAVOR,1,$5.29 ,0,1
Brand K,CHERRY,227,$7.76 ,103,133
Brand A,CRANBERRY BLEND,10,$5.46 ,0,4
Brand A,CRANBERRY,195,$12.89 ,24,103
Brand A,REMAINING FLAVOR,"2,884",$5.05 ,"2,721",951
Brand A,GRAPE,0,,0,
Brand A,PRUNE,103,$8.56 ,0,68
Brand E,CHERRY,"1,110",$5.21 ,59,158
Brand F,CHERRY,"7,825",$5.05 ,"2,280","1,842"
Brand F,CRANBERRY,"5,905",$6.88 ,"1,796","1,411"
Brand A,CHERRY,271,$9.38 ,9,105
Brand A,BLUEBERRY,718,$7.84 ,244,464
Brand C,CHERRY,45,$11.99 ,0,31
Brand A,PINEAPPLE,0,,0,
Brand C,REMAINING FLAVOR,105,$8.99 ,105,38
Brand F,CRANBERRY,0,,0,
Brand F,CHERRY,"5,524",$5.07 ,192,"1,706"
Brand A,REMAINING FLAVOR,9,$8.29 ,0,6.0
Brand C,GRAPEFRUIT,"3,575",$7.44 ,586,"1,479"
Brand J,CRANBERRY,"2,019",$5.28 ,63,613
Brand C,GRAPE,110,$8.19 ,0,53
Brand A,REMAINING FLAVOR,294,$5.98 ,0,125
Brand H,GRAPE,415,$4.77 ,0,136.0
Brand C,ORANGE,376,$9.34 ,24,307
Brand C,REMAINING FLAVOR,"1,419",$10.27 ,111,422
Brand H,CRANBERRY BLEND,88,$5.29 ,11,48
Brand A,BLUEBERRY,671,$9.69 ,410,381
Brand A,CRANBERRY,160,$8.68 ,0,81
Brand A,GRAPE,0,,0,
Brand C,MANGO,"1,175",$7.87 ,435,412
Brand F,ORANGE BLEND,"1,990",$3.91 ,140,618
Brand C,REMAINING FLAVOR,409,$7.78 ,71,167.0
Brand C,REMAINING FLAVOR,423,$6.01 ,266,181
Brand K,GREEN BLEND,183,$7.99 ,0,92.0
Brand A,REMAINING FLAVOR,0,,0,
Brand F,CHERRY,"17,038",$1.00 ,752,"5,164"
Brand E,CHERRY,127,$7.07 ,12,28
Brand E,CRANBERRY,228,$6.76 ,0,88
Brand A,CRANBERRY,"2,140",$7.92 ,"2,140",465.0
Brand J,CHERRY,806,$5.39 ,0,300
Brand A,PRUNE,118,$9.65 ,0,70
Brand L,REMAINING FLAVOR,4,$4.99 ,0,2
Brand A,CRANBERRY,743,$7.90 ,450,286.0
Brand A,CHERRY,"36,829",$8.49 ,"20,178","11,079"
Brand A,ORANGE BLEND,1,$6.49 ,0,1
Brand A,CARROT,282,$6.20 ,49,204
Brand A,GRAPEFRUIT,"1,122",$5.27 ,"1,023",619
Brand A,REMAINING FLAVOR,88,$3.50 ,88,54
Brand D,CHERRY,288,$7.08 ,0,203
Brand A,PINEAPPLE,"1,090",$6.52 ,81,645
Brand A,BLUEBERRY,31,$4.29 ,12,22
Brand H,FRUIT PUNCH,152,$5.99 ,0,111
Brand A,POMEGRANATE,"10,195",$7.51 ,"4,194","4,518"
Brand D,CHERRY,745,$6.95 ,6,221
Brand C,REMAINING FLAVOR,0,,0,
Brand H,GRAPE,24,$5.19 ,0,13
Brand A,REMAINING FLAVOR,110,$7.23 ,110,47
Brand C,ORANGE,"1,863",$7.67 ,595,439
Brand L,REMAINING FLAVOR,"2,062",$5.40 ,58,879
Brand L,MANGO,25,$4.42 ,5,14
Brand E,CRANBERRY,459,$5.97 ,33,144
Brand C,POMEGRANATE,372,$11.83 ,0,146
Brand H,REMAINING FLAVOR,"1,622",$6.13 ,213,822
Brand C,CHERRY,"1,722",$7.98 ,667,801
Brand H,ORANGE BLEND,286,$3.77 ,286,74
Brand A,CRANBERRY,148,$4.69 ,0,93.0
Brand A,REMAINING FLAVOR,"12,097",$4.44 ,908,"5,192"
Brand H,REMAINING FLAVOR,1,$4.99 ,0,1
Brand C,FRUIT PUNCH,283,$5.05 ,38,207
Brand F,REMAINING FLAVOR,"2,354",$5.37 ,164,"1,085"
Brand H,MANGO,20,$3.60 ,0,19
Brand A,REMAINING FLAVOR,103,$4.10 ,32,53
Brand A,PRUNE,138,$7.65 ,106,75
Brand D,CHERRY,145,$2.08 ,104,39
Brand A,REMAINING FLAVOR,217,$5.66 ,156,105.0
Brand A,GRAPEFRUIT,112,$7.97 ,0,60
Brand C,ORANGE,2,$4.24 ,0,1
Brand A,ORANGE BLEND,"5,900",$6.16 ,93,"2,467"
Brand C,PRUNE,95,$8.79 ,0,49
Brand C,CHERRY,85,$10.33 ,0,26.0
Brand A,REMAINING FLAVOR,135,$4.99 ,0,79.0
Brand A,CRANBERRY BLEND,11,$4.88 ,0,9
Brand C,POMEGRANATE,"3,121",$9.95 ,"2,019","1,461"
Brand A,REMAINING FLAVOR,46,$4.85 ,5,19
Brand C,CRANBERRY,288,$9.32 ,147,115
Brand E,STRAWBERRY BLEND,50,$3.59 ,0,17
Brand A,REMAINING FLAVOR,"3,220",$4.35 ,"3,220",487
Brand C,GRAPEFRUIT,2,$6.49 ,0,1
Brand A,CRANBERRY,0,,0,
Brand C,POMEGRANATE,176,$11.42 ,165,92
Brand C,GRAPE,476,$9.42 ,476,302
Brand F,GRAPE,"2,671",$4.74 ,28,625
Brand C,PINEAPPLE,2,$6.89 ,0,1
Brand C,CHERRY,66,$6.34 ,0,33.0
Brand C,CRANBERRY BLEND,9,$9.49 ,0,1.0
Brand A,BLUEBERRY,48,$3.21 ,0,19
Brand L,REMAINING FLAVOR,0,,0,
Brand A,GRAPE,0,,0,
Brand L,REMAINING FLAVOR,2,$5.39 ,0,1
Brand C,ORANGE BLEND,382,$7.42 ,0,202.0
Brand C,ORANGE,953,$8.79 ,134,584
Brand C,ORANGE,134,$9.39 ,11,95
Brand C,ORANGE,458,$5.77 ,458,176
Brand C,POMEGRANATE,253,$8.87 ,188,126
Brand F,CHERRY,"7,618",$5.46 ,"2,005","1,909"
Brand M,PEACH,0,,0,
Brand A,CRANBERRY,125,$12.96 ,0,67
Brand A,POMEGRANATE,1,$4.15 ,0,1
Brand L,REMAINING FLAVOR,472,$4.32 ,230,238
Brand C,REMAINING FLAVOR,718,$7.54 ,0,250.0
Brand K,REMAINING FLAVOR,103,$7.99 ,0,89
Brand E,CRANBERRY,284,$3.74 ,57,157
Brand A,CHERRY,"1,996",$5.33 ,"1,890",987
Brand A,REMAINING FLAVOR,569,$8.00 ,0,189
Brand C,ORANGE BLEND,26,$7.49 ,26,18
Brand A,CRANBERRY BLEND,1,$6.49 ,0,1.0
Brand G,CHERRY,262,$7.00 ,7,194
Brand C,REMAINING FLAVOR,16,$7.99 ,0,7
Brand H,ORANGE BLEND,414,$4.84 ,311,211
Brand L,REMAINING FLAVOR,"1,598",$4.25 ,399,680
Brand A,CHERRY,251,$9.09 ,77,170
Brand L,REMAINING FLAVOR,1,$5.79 ,0,1
Brand A,REMAINING FLAVOR,95,$4.66 ,0,39
Brand J,CHERRY,963,$5.40 ,0,329
Brand A,REMAINING FLAVOR,"2,682",$8.30 ,"2,675",991
Brand A,PINEAPPLE,220,$7.32 ,0,90
Brand C,ORANGE,2,$7.50 ,0,1
Brand N,CRANBERRY BLEND,199,$7.32 ,13,174
Brand A,CHERRY,255,$10.03 ,0,105
Brand A,REMAINING FLAVOR,"3,136",$8.00 ,10,"1,636"
Brand A,PEACH,9,$5.49 ,0,9
Brand C,ORANGE,"1,622",$9.14 ,42,419.0
Brand K,STRAWBERRY BLEND,49,$6.83 ,33,38.0
Brand L,REMAINING FLAVOR,61,$4.99 ,0,32
Brand F,PRUNE,"1,829",$7.51 ,93,984
Brand K,STRAWBERRY BLEND,23,$7.99 ,0,22
Brand C,CRANBERRY BLEND,8,$0.61 ,0,1
Brand C,REMAINING FLAVOR,"2,131",$8.53 ,"2,122",454.0
Brand A,BLUEBERRY,980,$7.82 ,980,354.0
Brand A,REMAINING FLAVOR,108,$7.32 ,0,71.0
Brand A,POMEGRANATE,92,$6.93 ,92,55
Brand F,CHERRY,"2,388",$6.93 ,37,958
Brand C,REMAINING FLAVOR,248,$4.11 ,32,90
Brand A,GRAPE,28,$6.43 ,0,10
Brand C,CARROT,134,$7.16 ,134,63
Brand B,BLUEBERRY,556,$6.84 ,95,367
Brand M,PEACH,289,$6.61 ,0,151
Brand A,REMAINING FLAVOR,3,$4.16 ,0,1.0
Brand H,CHERRY,"1,387",$5.19 ,425,638
Brand C,CARROT,"7,206",$7.33 ,"3,488","3,371"
Brand I,POMEGRANATE,558,$7.87 ,0,381
Brand A,CHERRY,"1,379",$6.33 ,165,814
Brand A,CHERRY,36,$11.39 ,0,22
Brand C,CRANBERRY,"1,122",$11.92 ,22,357
Brand A,REMAINING FLAVOR,2,$5.79 ,0,1
Brand A,CHERRY,674,$6.10 ,53,210
Brand E,CHERRY,"3,601",$5.50 ,486,"1,735"
Brand F,CHERRY,"7,390",$5.42 ,"1,485","1,895"
Brand I,REMAINING FLAVOR,294,$8.87 ,0,119
Brand C,CRANBERRY,141,$12.99 ,0,63
Brand F,PRUNE,119,$8.54 ,0,69
Brand C,ORANGE,122,$9.45 ,0,74.0
Brand A,BLUEBERRY,239,$11.71 ,0,164
Brand H,CHERRY,973,$5.16 ,88,403
Brand J,CHERRY,798,$5.26 ,177,289
Brand H,MANGO,6,$1.99 ,0,3
Brand C,REMAINING FLAVOR,705,$7.54 ,0,258
Brand C,REMAINING FLAVOR,234,$7.87 ,0,163
Brand A,CRANBERRY,798,$8.58 ,0,230
Brand A,REMAINING FLAVOR,39,$7.99 ,0,26
Brand F,ORANGE BLEND,"2,863",$3.11 ,231,776
Brand C,PINEAPPLE,668,$7.95 ,0,128
Brand C,ORANGE BLEND,76,$7.75 ,0,46.0
Brand A,PINEAPPLE,0,,0,
Brand A,TOMATO JUICE,1,$3.49 ,0,1
Brand C,REMAINING FLAVOR,27,$4.63 ,0,21
Brand C,GRAPEFRUIT,109,$7.68 ,0,72.0
Brand F,PRUNE,"2,404",$4.04 ,83,894
Brand E,CHERRY,94,$7.40 ,29,35
Brand C,CRANBERRY,209,$12.88 ,17,98
Brand A,GRAPEFRUIT,100,$7.99 ,0,57
Brand C,CHERRY,"2,797",$7.07 ,"2,254","1,047"
Brand C,REMAINING FLAVOR,357,$6.99 ,0,114
Brand A,BLUEBERRY,111,$8.79 ,0,54
Brand K,CHERRY,123,$7.99 ,0,63.0
Brand A,BLUEBERRY,"1,265",$9.56 ,531,787
Brand A,TOMATO JUICE,22,$5.79 ,9,16
Brand A,REMAINING FLAVOR,"1,259",$6.12 ,0,434.0
Brand C,PINEAPPLE,"3,228",$6.92 ,0,"1,135"
Brand C,REMAINING FLAVOR,"1,260",$6.50 ,16,618
Brand A,CRANBERRY,870,$10.17 ,40,376
Brand A,PRUNE,127,$9.83 ,0,82
Brand L,REMAINING FLAVOR,1,$3.99 ,0,1
Brand A,CRANBERRY,597,$13.33 ,45,267
Brand A,REMAINING FLAVOR,294,$7.25 ,0,136
Brand C,CHERRY,1,$8.59 ,0,1
Brand A,REMAINING FLAVOR,505,$3.02 ,505,124
Brand A,REMAINING FLAVOR,4,$4.19 ,0,4
Brand B,BLUEBERRY,195,$6.08 ,79,119.0
Brand H,MANGO,13,$2.69 ,0,10
Brand M,MANGO,"10,616",$5.27 ,"1,146","4,388"
Brand C,POMEGRANATE,187,$12.91 ,0,74
Brand A,GRAPE,578,$5.34 ,18,374
Brand C,MANGO,307,$6.52 ,0,151
Brand A,REMAINING FLAVOR,121,$4.99 ,0,66.0
Brand A,BLUEBERRY,542,$10.00 ,20,283.0
Brand A,TOMATO JUICE,0,,0,
Brand F,REMAINING FLAVOR,81,$4.25 ,0,22
Brand A,CARROT,138,$6.50 ,96,81
Brand A,REMAINING FLAVOR,"1,839",$5.88 ,868,925
Brand C,GRAPE,411,$9.42 ,411,253
Brand C,GRAPE,107,$8.02 ,0,52
Brand A,REMAINING FLAVOR,692,$3.76 ,675,261.0
Brand A,CHERRY,196,$9.99 ,0,63
Brand C,REMAINING FLAVOR,"1,189",$6.68 ,"1,189",225
Brand A,REMAINING FLAVOR,"2,259",$4.31 ,641,"1,055"
Brand C,REMAINING FLAVOR,230,$7.99 ,0,93
Brand L,PINEAPPLE,1,$5.19 ,0,1
Brand J,CRANBERRY,"3,939",$4.50 ,0,"1,135"
Brand H,GRAPE,0,,0,
Brand C,REMAINING FLAVOR,"4,566",$7.71 ,0,"1,202"
Brand A,PINEAPPLE,20,$7.99 ,0,8
Brand C,REMAINING FLAVOR,35,$8.49 ,0,28
Brand F,CHERRY,"39,536",$5.50 ,"2,962","6,872"
Brand C,REMAINING FLAVOR,"2,272",$8.34 ,"2,272",454
Brand F,CHERRY,"1,284",$5.90 ,0,315
Brand N,TROPICAL,528,$5.11 ,0,364
Brand I,POMEGRANATE,1,$7.49 ,0,1
Brand J,CRANBERRY,953,$5.00 ,0,276
Brand A,PINEAPPLE,"19,477",$6.37 ,"3,491","6,055"
Brand A,CRANBERRY,0,,0,
Brand A,CHERRY,"1,606",$10.06 ,0,417
Brand B,CHERRY,"3,003",$6.05 ,"1,003","1,139"
Brand A,ORANGE BLEND,1,$7.99 ,0,1
Brand C,CHERRY,1,$5.79 ,0,1
Brand C,ORANGE,616,$5.97 ,31,393
Brand A,TOMATO JUICE,126,$4.55 ,74,75
Brand C,PINEAPPLE,"2,022",$3.51 ,72,447.0
Brand C,REMAINING FLAVOR,0,,0,
Brand L,PEACH,2,$3.99 ,0,1
Brand A,POMEGRANATE,518,$8.87 ,6,179
Brand L,REMAINING FLAVOR,0,,0,
Brand I,CHERRY,360,$8.44 ,0,98
Brand A,CHERRY,151,$7.35 ,143,80
Brand F,CHERRY,"9,217",$4.61 ,"6,169","1,920"
Brand A,CRANBERRY,"3,123",$7.56 ,"1,431","1,371"
Brand F,TOMATO JUICE,"2,062",$3.12 ,0,456.0
Brand A,REMAINING FLAVOR,8,$3.29 ,0,1
Brand A,REMAINING FLAVOR,"21,505",$7.20 ,"2,580","7,549"
Brand A,CRANBERRY BLEND,"14,986",$5.35 ,"1,278","5,735"
Brand C,CHERRY,"1,057",$6.00 ,0,532
Brand A,TOMATO JUICE,7,$5.49 ,0,6
Brand C,BLUEBERRY,53,$10.65 ,0,34
Brand C,REMAINING FLAVOR,16,$5.99 ,0,12
Brand D,CHERRY,175,$7.65 ,56,120
Brand A,PINEAPPLE,"1,185",$6.64 ,84,661
Brand L,REMAINING FLAVOR,0,,0,
Brand A,CRANBERRY,457,$4.00 ,8,258
Brand A,CRANBERRY,"41,627",$8.26 ,"14,710","13,596"
Brand C,CRANBERRY,"11,554",$12.69 ,"1,748","3,712"
Brand G,CRANBERRY BLEND,261,$7.15 ,15,210
Brand C,GRAPE,"1,151",$9.55 ,47,377.0
Brand A,MANGO,137,$9.45 ,0,76
Brand F,PRUNE,"6,182",$5.26 ,"5,042","1,800"
Brand C,REMAINING FLAVOR,"3,828",$6.84 ,"3,828",481
Brand A,FRUIT PUNCH,0,,0,
Brand C,PRUNE,208,$7.89 ,191,94
Brand L,REMAINING FLAVOR,1,$4.99 ,0,1
Brand C,REMAINING FLAVOR,"7,328",$7.65 ,"1,255","2,237"
Brand A,PINEAPPLE,258,$6.29 ,0,85
Brand A,REMAINING FLAVOR,2,$2.18 ,0,1
Brand A,REMAINING FLAVOR,1,$4.19 ,0,1
Brand F,PRUNE,"2,187",$3.92 ,13,812
Brand K,POMEGRANATE,47,$11.33 ,0,46
Brand A,REMAINING FLAVOR,0,,0,
Brand A,TOMATO JUICE,23,$5.41 ,3,14
Brand F,PRUNE,"2,807",$5.91 ,"1,384",335
Brand L,PEACH,1,$3.99 ,0,1.0
Brand A,CHERRY,"1,721",$6.45 ,741,924
Brand K,GREEN BLEND,221,$8.23 ,37,136
Brand A,REMAINING FLAVOR,48,$5.49 ,0,26
Brand A,CRANBERRY BLEND,3,$0.99 ,0,1
Brand C,REMAINING FLAVOR,"1,588",$10.50 ,8,384
Brand E,CHERRY,"1,208",$6.68 ,359,738
Brand D,CHERRY,642,$5.88 ,470,253
Brand A,PRUNE,163,$9.70 ,124,94
Brand I,CHERRY,"1,266",$7.57 ,42,516
Brand C,ORANGE,638,$9.41 ,48,309.0
Brand A,TOMATO JUICE,0,,0,
Brand A,REMAINING FLAVOR,216,$4.54 ,0,110
Brand A,REMAINING FLAVOR,9,$4.08 ,0,2.0
Brand C,CHERRY,148,$4.30 ,108,38
Brand A,REMAINING FLAVOR,61,$4.63 ,6,35
Brand A,BERRY POMEGRANATE,697,$5.37 ,242,363
Brand K,REMAINING FLAVOR,94,$7.99 ,0,71.0
Brand A,CRANBERRY BLEND,132,$5.40 ,0,62
Brand A,CARROT,0,,0,
Brand C,CARROT,499,$5.98 ,0,199
Brand C,BLUEBERRY,"2,001",$10.63 ,"1,620",585
Brand A,POMEGRANATE,6,$8.32 ,0,4
Brand C,CHERRY,349,$5.44 ,218,235
Brand C,CRANBERRY,"4,929",$10.12 ,"4,536","1,263"
Brand M,REMAINING FLAVOR,17,$5.49 ,0,17
Brand C,GRAPE,26,$8.99 ,0,22
Brand E,POMEGRANATE,"1,402",$5.92 ,124,607
Brand H,CRANBERRY BLEND,0,,0,
Brand A,GRAPE,2,$4.99 ,0,1
Brand A,POMEGRANATE,42,$10.99 ,0,23
Brand A,GRAPEFRUIT,12,$9.49 ,0,9
Brand C,CRANBERRY,190,$14.81 ,12,87
Brand C,POMEGRANATE,0,,0,
Brand H,MANGO,4,$3.44 ,0,4
Brand C,PINEAPPLE,"5,304",$7.40 ,172,"2,032"
Brand E,STRAWBERRY BLEND,39,$5.76 ,27,27
Brand F,PRUNE,0,,0,
Brand A,CRANBERRY BLEND,756,$5.39 ,30,373
Brand B,CHERRY,516,$5.91 ,108,227
Brand C,POMEGRANATE,642,$6.08 ,41,417
Brand I,REMAINING FLAVOR,"1,011",$7.56 ,265,634
Brand J,GRAPEFRUIT,178,$5.45 ,0,56
Brand A,CHERRY,"17,322",$6.98 ,33,"3,924"
Brand F,PRUNE,"5,251",$6.02 ,330,"1,718"
Brand A,ORANGE BLEND,322,$6.18 ,67,222
Brand C,REMAINING FLAVOR,30,$4.96 ,30,21
Brand B,BLUEBERRY,262,$6.24 ,39,121
Brand I,REMAINING FLAVOR,904,$7.99 ,12,566
Brand C,CHERRY,173,$6.99 ,0,53
Brand D,CHERRY,"2,796",$6.99 ,64,"1,021"
Brand C,POMEGRANATE,933,$7.98 ,933,229
Brand L,REMAINING FLAVOR,272,$4.77 ,272,163
Brand A,BERRY POMEGRANATE,2,$5.49 ,0,2
Brand A,CRANBERRY,922,$15.99 ,0,570
Brand A,REMAINING FLAVOR,345,$7.14 ,202,209
Brand C,REMAINING FLAVOR,306,$8.99 ,0,100
Brand F,REMAINING FLAVOR,184,$4.99 ,0,114
Brand F,CHERRY,"41,008",$3.72 ,"28,187","5,955"
Brand C,CHERRY,147,$6.99 ,0,68
Brand A,CHERRY,305,$4.97 ,305,93
Brand C,ORANGE BLEND,369,$7.85 ,36,182
Brand C,POMEGRANATE,"1,723",$8.38 ,"1,723",453.0
Brand H,ORANGE BLEND,157,$4.99 ,0,78
Brand C,MANGO,147,$8.39 ,93,69
Brand C,CHERRY,"3,383",$10.62 ,"3,355","1,111"
Brand A,REMAINING FLAVOR,257,$4.75 ,72,107.0
Brand A,POMEGRANATE,124,$8.83 ,0,80
Brand C,REMAINING FLAVOR,"4,361",$8.51 ,83,"1,175"
Brand C,PRUNE,21,$7.49 ,17,7
Brand B,BLUEBERRY,242,$5.38 ,0,93
Brand H,REMAINING FLAVOR,44,$5.90 ,0,30
Brand K,CHERRY,351,$8.51 ,56,192
Brand L,REMAINING FLAVOR,477,$3.91 ,0,137
Brand F,MANGO,"2,953",$5.49 ,339,"1,268"
Brand F,POMEGRANATE,"3,497",$5.62 ,241,"1,425"
Brand I,POMEGRANATE,711,$7.60 ,27,440
Brand C,CHERRY,525,$9.47 ,0,188.0
Brand C,REMAINING FLAVOR,646,$8.00 ,643,161
Brand A,PRUNE,550,$8.29 ,289,301
Brand A,CRANBERRY BLEND,4,$5.03 ,0,3
Brand C,CRANBERRY,652,$14.27 ,57,339
Brand C,ORANGE BLEND,"3,647",$6.64 ,"2,605",850
Brand A,REMAINING FLAVOR,1,$6.29 ,0,1.0
Brand C,CRANBERRY,303,$8.72 ,71,101
Brand A,CARROT,2,$7.49 ,0,2
Brand A,REMAINING FLAVOR,15,$5.49 ,0,4.0
Brand H,REMAINING FLAVOR,165,$6.35 ,12,135
Brand C,PINEAPPLE,0,,0,
Brand L,REMAINING FLAVOR,4,$4.99 ,0,1
Brand M,PEACH,111,$5.66 ,0,54
Brand E,REMAINING FLAVOR,273,$7.05 ,31,148
Brand A,CRANBERRY,657,$4.73 ,251,466
Brand A,CHERRY,388,$4.40 ,208,197.0
Brand A,CARROT,323,$6.07 ,91,238
