Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand A,REMAINING FLAVOR,476,$6.99 ,118,242
Brand L,REMAINING FLAVOR,3,$4.49 ,0,1
Brand C,BLUEBERRY,828,$13.27 ,379,284
Brand L,REMAINING FLAVOR,387,$4.84 ,27,135
Brand M,MANGO,56,$5.88 ,0,41
Brand A,REMAINING FLAVOR,4,$6.82 ,0,2
Brand A,PINEAPPLE,0,,0,
Brand A,PRUNE,72,$9.76 ,7,45
Brand C,REMAINING FLAVOR,"1,924",$6.72 ,682,893
Brand H,REMAINING FLAVOR,1,$1.64 ,0,1
Brand F,CHERRY,"2,525",$5.59 ,0,608
Brand C,MANGO,967,$8.18 ,87,253
Brand A,CRANBERRY BLEND,261,$4.97 ,261,84
Brand A,ORANGE BLEND,0,,0,
Brand C,REMAINING FLAVOR,64,$5.99 ,59,47
Brand J,CRANBERRY,"1,629",$5.41 ,52,605
Brand A,BLUEBERRY,945,$8.41 ,857,521
Brand C,PINEAPPLE,139,$4.99 ,0,70
Brand A,BERRY POMEGRANATE,4,$5.49 ,0,2
Brand A,CHERRY,"1,743",$8.15 ,"1,130",643
Brand A,FRUIT PUNCH,0,,0,
Brand E,REMAINING FLAVOR,921,$6.36 ,142,552
Brand I,CHERRY,"1,855",$7.97 ,0,671
Brand A,CRANBERRY,167,$8.78 ,141,91
Brand A,ORANGE BLEND,229,$8.31 ,0,154
Brand A,CHERRY,251,$7.96 ,251,92
Brand A,CRANBERRY BLEND,"1,487",$5.47 ,618,756
Brand C,POMEGRANATE,133,$11.99 ,0,69
Brand C,MANGO,338,$6.05 ,237,162.0
Brand C,POMEGRANATE,972,$12.06 ,13,369
Brand A,REMAINING FLAVOR,163,$4.68 ,34,82
Brand A,REMAINING FLAVOR,567,$4.73 ,15,232
Brand F,ORANGE BLEND,"3,439",$2.78 ,11,827
Brand K,CHERRY,123,$7.99 ,0,64.0
Brand I,POMEGRANATE,"1,789",$7.50 ,107,864
Brand C,REMAINING FLAVOR,25,$6.36 ,5,22
Brand A,REMAINING FLAVOR,413,$4.68 ,0,207
Brand J,CRANBERRY,488,$5.98 ,9,157
Brand A,REMAINING FLAVOR,82,$4.79 ,0,45
Brand A,REMAINING FLAVOR,36,$7.92 ,0,32
Brand A,CRANBERRY BLEND,"1,395",$6.17 ,184,412
